Time,Target Position,Measured Position,Torque,Current,Rotation raw,Pinion Target,Pinion Position,Pinion Current,Torque demand,Previous Pos,Moved,Motion Direction,i,j,Percent Output,PosControl, Stator Current,System Clock,
0.0102005,3.14093,0,0,0,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0,1,0,Wed Jan 18 12:42:45 2023,0,
0.0206354,6.45282,0,0,0,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0,1,0,Wed Jan 18 12:42:45 2023,0,
0.0309311,9.67721,0,0,0,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0,1,0,Wed Jan 18 12:42:45 2023,0,
0.0411337,12.8489,0,0,0,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0,1,0,Wed Jan 18 12:42:45 2023,0,
0.0512874,16.0199,0,0,0,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0,1,0,Wed Jan 18 12:42:45 2023,0,
0.0614366,19.1594,0,0,0,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0,1,0,Wed Jan 18 12:42:45 2023,0,
0.0715814,22.2769,0,0,0,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0,1,0,Wed Jan 18 12:42:45 2023,0,
0.0817342,25.3736,0,0,0,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0,1,0,Wed Jan 18 12:42:45 2023,0,
0.0918902,28.4469,0,0,0,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0,1,0,Wed Jan 18 12:42:45 2023,0,
0.102037,31.4887,0,0,0,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0,1,0,Wed Jan 18 12:42:45 2023,0,
0.112187,34.4975,0,0,0,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0,1,0,Wed Jan 18 12:42:45 2023,0,
0.122334,37.4727,0,0,0,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.000977517,1,0,Wed Jan 18 12:42:45 2023,0,
0.132454,40.4084,0,0,0,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.000977517,1,0,Wed Jan 18 12:42:45 2023,0,
0.142516,43.28,0,0,0,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00195503,1,0,Wed Jan 18 12:42:45 2023,0,
0.152576,46.1067,0,0,0,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00195503,1,0,Wed Jan 18 12:42:45 2023,0,
0.162637,48.8881,0,0.00109494,0.06,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00391007,1,0.06,Wed Jan 18 12:42:45 2023,0,
0.172699,51.6204,0,0.00109494,0.06,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00488759,1,0.06,Wed Jan 18 12:42:45 2023,0,
0.182766,54.3026,0,0.00109494,0.06,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0058651,1,0.06,Wed Jan 18 12:42:45 2023,0,
0.192836,56.9315,0,0.00109494,0.06,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00684262,1,0.06,Wed Jan 18 12:42:46 2023,0,
0.202899,59.5018,0,0.00109494,0.06,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00879765,1,0.06,Wed Jan 18 12:42:46 2023,0,
0.212977,62.0163,0,0.00200739,0.11,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00879765,1,0.11,Wed Jan 18 12:42:46 2023,0,
0.22304,64.4652,0,0.00200739,0.11,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0107527,1,0.11,Wed Jan 18 12:42:46 2023,0,
0.233105,66.8492,0,0.00200739,0.11,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0146628,1,0.11,Wed Jan 18 12:42:46 2023,0,
0.243169,69.1674,4,0.00200739,0.11,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0127077,1,0.11,Wed Jan 18 12:42:46 2023,0,
0.253231,71.4153,4,0.00200739,0.11,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0127077,1,0.11,Wed Jan 18 12:42:46 2023,0,
0.263296,73.5926,5,0.00583969,0.32,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0127077,1,0.32,Wed Jan 18 12:42:46 2023,0,
0.27336,75.696,5,0.00583969,0.32,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0146628,1,0.32,Wed Jan 18 12:42:46 2023,0,
0.283422,77.7234,13,0.00583969,0.32,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0107527,1,0.32,Wed Jan 18 12:42:46 2023,0,
0.293488,79.674,14,0.00583969,0.32,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0117302,1,0.32,Wed Jan 18 12:42:46 2023,0,
0.303552,81.5449,13,0.009307,0.51,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0156403,1,0.51,Wed Jan 18 12:42:46 2023,0,
