Time,Target Position,Measured Position,Torque,Current,Rotation raw,Pinion Target,Pinion Position,Pinion Current,Joint Velocity,Stator Current,Percent Output,System Clock,,,,,,,
0.010401,7.08149,0,0.00218988,0.12,1,0,0,0,0,0,0,Mon Dec 12 14:20:12 2022,,,,,,,
0.0205999,14.4767,0,0.00218988,0.12,1,0,0,0,0,0,0,Mon Dec 12 14:20:12 2022,,,,,,,
0.0307844,21.5993,0,0.00218988,0.12,1,0,0,0,0,0,0,Mon Dec 12 14:20:12 2022,,,,,,,
0.0409244,28.6931,0,0.00218988,0.12,1,0,0,0,0,0,0,Mon Dec 12 14:20:12 2022,,,,,,,
0.0510585,35.6933,0,0.00218988,0.12,1,0,0,0,0,0,0,Mon Dec 12 14:20:12 2022,,,,,,,
0.061243,42.6042,0,0.00164241,0.09,1,0,0,0,0,0,0,Mon Dec 12 14:20:12 2022,,,,,,,
0.0713743,49.4563,0,0.00164241,0.09,0,0,0,0,0,0,0,Mon Dec 12 14:20:12 2022,,,,,,,
0.0815002,56.1572,0,0.00164241,0.09,-9,0,0,0,0,0,0.054741,Mon Dec 12 14:20:12 2022,,,,,,,
0.0916411,62.7296,8,0.00164241,0.09,-19,0,0,0,60,0,0.0322581,Mon Dec 12 14:20:12 2022,,,,,,,
0.10178,69.1723,19,0.00164241,0.09,-25,0,0,0,110,0,0.000977517,Mon Dec 12 14:20:12 2022,,,,,,,
0.111873,75.4469,25,0.100187,5.49,-30,0,0,0,70,0,0.0361681,Mon Dec 12 14:20:12 2022,,,,,,,
0.121927,81.5031,31,0.100187,5.49,-40,0,0,0,50,0,0.0488759,Mon Dec 12 14:20:12 2022,,,,,,,
0.131982,87.376,41,0.100187,5.49,-50,0,0,0,90,0,0.0322581,Mon Dec 12 14:20:12 2022,,,,,,,
0.142039,93.0518,52,0.100187,5.49,-62,0,0,0,110,0,0.0361681,Mon Dec 12 14:20:12 2022,,,,,,,
