Time,Target Position,Measured Position,Torque,Current,Rotation raw,Pinion Target,Pinion Position,Pinion Current,Torque demand,Previous Pos,Moved,Motion Direction,i,j,Percent Output,PosControl, Stator Current,System Clock,
0.0102032,3.14159,0,0,0,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0,1,0,Wed Jan 18 12:45:11 2023,0,
0.0205828,6.43688,0,0,0,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0,1,0,Wed Jan 18 12:45:11 2023,0,
0.0307468,9.62037,0,0,0,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0,1,0,Wed Jan 18 12:45:11 2023,0,
0.0409515,12.7901,0,0,0,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0,1,0,Wed Jan 18 12:45:11 2023,0,
0.0511187,15.9668,0,0,0,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0,1,0,Wed Jan 18 12:45:11 2023,0,
0.0612696,19.1075,0,0,0,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0,1,0,Wed Jan 18 12:45:11 2023,0,
0.0714258,22.2285,0,0,0,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0,1,0,Wed Jan 18 12:45:11 2023,0,
0.081576,25.326,0,0,0,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0,1,0,Wed Jan 18 12:45:11 2023,0,
0.0917329,28.3992,0,0,0,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0,1,0,Wed Jan 18 12:45:11 2023,0,
0.101854,31.4418,0,0,0,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0,1,0,Wed Jan 18 12:45:11 2023,0,
0.111918,34.4271,0,0,0,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0.000977517,1,0,Wed Jan 18 12:45:11 2023,0,
0.12198,37.3775,0,0,0,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0.000977517,1,0,Wed Jan 18 12:45:11 2023,0,
0.132046,40.291,0,0,0,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0.00195503,1,0,Wed Jan 18 12:45:11 2023,0,
0.14211,43.1638,0,0,0,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0.00195503,1,0,Wed Jan 18 12:45:11 2023,0,
0.152179,45.9951,0,0.00127743,0.07,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0.00391007,1,0.07,Wed Jan 18 12:45:11 2023,0,
0.162241,48.7793,0,0.00127743,0.07,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0.00488759,1,0.07,Wed Jan 18 12:45:11 2023,0,
0.172306,51.5143,0,0.00127743,0.07,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0.0058651,1,0.07,Wed Jan 18 12:45:11 2023,0,
0.182374,54.1977,0,0.00127743,0.07,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0.00684262,1,0.07,Wed Jan 18 12:45:12 2023,0,
0.192447,56.831,0,0.00127743,0.07,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0.00782014,1,0.07,Wed Jan 18 12:45:12 2023,0,
