Time,Target Position,Measured Position,Torque,Current,Rotation raw,Pinion Target,Pinion Position,Pinion Current,Torque demand,Previous Pos,Moved,Motion Direction,i,j,Percent Output,PosControl, Stator Current,System Clock,
0.0101937,3.14132,0,0,0,0,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0,1,0,Wed Nov 16 12:49:16 2022,0,
0.0205702,6.43289,0,0,0,0,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0,1,0,Wed Nov 16 12:49:16 2022,0,
0.0307344,9.617,0,0,0,0,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0,1,0,Wed Nov 16 12:49:16 2022,0,
0.0409137,12.7882,0,0,0,0,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0,1,0,Wed Nov 16 12:49:16 2022,0,
0.0510727,15.9528,0,0,0,0,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0,1,0,Wed Nov 16 12:49:16 2022,0,
0.0612336,19.096,0,0,0,0,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0,1,0,Wed Nov 16 12:49:16 2022,0,
0.0713935,22.2188,0,0,0,0,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0,1,0,Wed Nov 16 12:49:16 2022,0,
0.0815406,25.3167,0,0,0,0,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0,1,0,Wed Nov 16 12:49:16 2022,0,
0.091689,28.3871,0,0,0,0,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.00195503,1,0,Wed Nov 16 12:49:16 2022,0,
0.101836,31.4297,0,0,0,0,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.00195503,1,0,Wed Nov 16 12:49:16 2022,0,
0.111958,34.439,0,0.00127743,0.07,0,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.00782014,1,0.07,Wed Nov 16 12:49:16 2022,0,
0.12202,37.3899,0,0.00127743,0.07,0,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.00782014,1,0.07,Wed Nov 16 12:49:16 2022,0,
0.132082,40.3021,0,0.00127743,0.07,0,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0136852,1,0.07,Wed Nov 16 12:49:16 2022,0,
0.142142,43.1745,0,0.00127743,0.07,0,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0136852,1,0.07,Wed Nov 16 12:49:16 2022,0,
0.152202,46.0028,0,0.00127743,0.07,0,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0195503,1,0.07,Wed Nov 16 12:49:17 2022,0,
0.162262,48.7854,0,0.0313883,1.72,0,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0254154,1,1.72,Wed Nov 16 12:49:17 2022,0,
0.172326,51.5205,0,0.0313883,1.72,0,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.030303,1,1.72,Wed Nov 16 12:49:17 2022,0,
0.182386,54.2034,0,0.0313883,1.72,-2,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0361681,1,1.72,Wed Nov 16 12:49:17 2022,0,
0.192446,56.8317,0,0.0313883,1.72,-5,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0371457,1,1.72,Wed Nov 16 12:49:17 2022,0,
0.202504,59.403,2,0.0313883,1.72,-9,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0273705,1,1.72,Wed Nov 16 12:49:17 2022,0,
0.212565,61.9153,7,0.149277,8.18,-11,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.028348,1,8.18,Wed Nov 16 12:49:17 2022,0,
0.222626,64.366,8,0.149277,8.18,-13,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0293255,1,8.18,Wed Nov 16 12:49:17 2022,0,
0.232687,66.7525,9,0.149277,8.18,-14,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0351906,1,8.18,Wed Nov 16 12:49:17 2022,0,
0.242746,69.072,10,0.149277,8.18,-15,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0351906,1,8.18,Wed Nov 16 12:49:17 2022,0,
0.252807,71.3223,11,0.149277,8.18,-18,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0361681,1,8.18,Wed Nov 16 12:49:17 2022,0,
0.262868,73.5017,14,0.13559,7.43,-22,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0322581,1,7.43,Wed Nov 16 12:49:17 2022,0,
0.272931,75.6082,17,0.13559,7.43,-25,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0322581,1,7.43,Wed Nov 16 12:49:17 2022,0,
0.282992,77.639,19,0.13559,7.43,-28,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0322581,1,7.43,Wed Nov 16 12:49:17 2022,0,
0.293052,79.5917,21,0.13559,7.43,-30,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0332356,1,7.43,Wed Nov 16 12:49:17 2022,0,
0.303113,81.4653,22,0.13559,7.43,-32,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0342131,1,7.43,Wed Nov 16 12:49:17 2022,0,
0.313174,83.2571,24,0.137233,7.52,-35,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0391007,1,7.52,Wed Nov 16 12:49:17 2022,0,
0.323233,84.966,26,0.137233,7.52,-38,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.00879765,1,7.52,Wed Nov 16 12:49:17 2022,0,
0.333293,86.5898,29,0.137233,7.52,-41,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0410557,1,7.52,Wed Nov 16 12:49:17 2022,0,
0.343367,88.1295,29,0.137233,7.52,-46,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0361681,1,7.52,Wed Nov 16 12:49:17 2022,0,
0.353429,89.5788,36,0.137233,7.52,-51,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.00195503,1,7.52,Wed Nov 16 12:49:17 2022,0,
0.36349,90.9386,39,0.142707,7.82,-54,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0332356,1,7.82,Wed Nov 16 12:49:17 2022,0,
0.373554,92.2081,41,0.142707,7.82,-57,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0381232,1,7.82,Wed Nov 16 12:49:17 2022,0,
0.383614,93.3851,43,0.142707,7.82,-60,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0439883,1,7.82,Wed Nov 16 12:49:17 2022,0,
0.393677,94.4688,46,0.142707,7.82,-64,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0430108,1,7.82,Wed Nov 16 12:49:17 2022,0,
0.403738,95.4582,49,0.142707,7.82,-68,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.00782014,1,7.82,Wed Nov 16 12:49:17 2022,0,
0.413798,96.352,52,0.124823,6.84,-72,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0361681,1,6.84,Wed Nov 16 12:49:17 2022,0,
0.423857,97.1495,55,0.124823,6.84,-76,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0371457,1,6.84,Wed Nov 16 12:49:17 2022,0,
0.433917,97.8501,58,0.124823,6.84,-79,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0117302,1,6.84,Wed Nov 16 12:49:17 2022,0,
0.443976,98.4529,61,0.124823,6.84,-83,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0322581,1,6.84,Wed Nov 16 12:49:17 2022,0,
0.454034,98.9574,63,0.124823,6.84,-87,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0351906,1,6.84,Wed Nov 16 12:49:17 2022,0,
0.464095,99.363,66,0.117341,6.43,-90,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0293255,1,6.43,Wed Nov 16 12:49:17 2022,0,
0.474157,99.6696,67,0.117341,6.43,-92,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0342131,1,6.43,Wed Nov 16 12:49:17 2022,0,
0.484215,99.8764,69,0.117341,6.43,-94,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.00391007,1,6.43,Wed Nov 16 12:49:17 2022,0,
0.494274,99.9836,71,0.117341,6.43,-98,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0381232,1,6.43,Wed Nov 16 12:49:17 2022,0,
0.504331,99.9909,74,0.117341,6.43,-101,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0332356,1,6.43,Wed Nov 16 12:49:17 2022,0,
0.514392,99.8984,76,0.114239,6.26,-104,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0332356,1,6.26,Wed Nov 16 12:49:17 2022,0,
0.524451,99.7061,79,0.114239,6.26,-107,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.00195503,1,6.26,Wed Nov 16 12:49:17 2022,0,
0.534511,99.4142,81,0.114239,6.26,-110,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.026393,1,6.26,Wed Nov 16 12:49:17 2022,0,
0.544572,99.023,82,0.114239,6.26,-112,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0254154,1,6.26,Wed Nov 16 12:49:17 2022,0,
0.554633,98.5329,83,0.114239,6.26,-112,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0195503,1,6.26,Wed Nov 16 12:49:17 2022,0,
0.5647,97.9444,83,0.0865004,4.74,-112,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0195503,1,4.74,Wed Nov 16 12:49:17 2022,0,
0.574772,97.2567,83,0.0865004,4.74,-112,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0195503,1,4.74,Wed Nov 16 12:49:17 2022,0,
0.584834,96.4728,83,0.0865004,4.74,-112,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0205279,1,4.74,Wed Nov 16 12:49:17 2022,0,
0.594898,95.5925,84,0.0865004,4.74,-112,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.026393,1,4.74,Wed Nov 16 12:49:17 2022,0,
0.60496,94.6167,84,0.0865004,4.74,-113,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0215054,1,4.74,Wed Nov 16 12:49:17 2022,0,
0.615023,93.5465,84,0.100917,5.53,-113,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0224829,1,5.53,Wed Nov 16 12:49:17 2022,0,
0.625083,92.3829,84,0.100917,5.53,-113,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.028348,1,5.53,Wed Nov 16 12:49:17 2022,0,
0.635143,91.127,84,0.100917,5.53,-114,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0332356,1,5.53,Wed Nov 16 12:49:17 2022,0,
0.645202,89.7803,86,0.100917,5.53,-116,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.028348,1,5.53,Wed Nov 16 12:49:17 2022,0,
0.655262,88.3441,87,0.100917,5.53,-117,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0234604,1,5.53,Wed Nov 16 12:49:17 2022,0,
0.66544,86.8017,88,0.13413,7.35,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0273705,1,7.35,Wed Nov 16 12:49:17 2022,0,
0.675506,85.1879,88,0.13413,7.35,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0215054,1,7.35,Wed Nov 16 12:49:17 2022,0,
0.685568,83.4895,88,0.13413,7.35,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0215054,1,7.35,Wed Nov 16 12:49:17 2022,0,
0.695642,81.7064,88,0.13413,7.35,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0244379,1,7.35,Wed Nov 16 12:49:17 2022,0,
0.705702,79.8435,88,0.13413,7.35,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0244379,1,7.35,Wed Nov 16 12:49:17 2022,0,
0.715762,77.9012,88,0.118984,6.52,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0244379,1,6.52,Wed Nov 16 12:49:17 2022,0,
0.725821,75.8809,88,0.118984,6.52,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0244379,1,6.52,Wed Nov 16 12:49:17 2022,0,
0.735881,73.7852,88,0.118984,6.52,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0244379,1,6.52,Wed Nov 16 12:49:17 2022,0,
0.74594,71.6158,88,0.118984,6.52,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0234604,1,6.52,Wed Nov 16 12:49:17 2022,0,
0.756002,69.3742,88,0.118984,6.52,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0224829,1,6.52,Wed Nov 16 12:49:17 2022,0,
0.766064,67.0639,88,0.136138,7.46,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0175953,1,7.46,Wed Nov 16 12:49:17 2022,0,
0.776129,64.6848,88,0.136138,7.46,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0166178,1,7.46,Wed Nov 16 12:49:17 2022,0,
0.786192,62.2415,88,0.136138,7.46,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0107527,1,7.46,Wed Nov 16 12:49:17 2022,0,
0.796253,59.737,88,0.136138,7.46,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0107527,1,7.46,Wed Nov 16 12:49:17 2022,0,
0.80631,57.1736,88,0.136138,7.46,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.00488759,1,7.46,Wed Nov 16 12:49:17 2022,0,
0.816371,54.5528,88,0.0456226,2.5,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.000977517,1,2.5,Wed Nov 16 12:49:17 2022,0,
0.826431,51.877,88,0.0456226,2.5,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0058651,1,2.5,Wed Nov 16 12:49:17 2022,0,
0.836491,49.1495,88,0.0456226,2.5,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0117302,1,2.5,Wed Nov 16 12:49:17 2022,0,
0.846549,46.3734,88,0.0456226,2.5,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0166178,1,2.5,Wed Nov 16 12:49:17 2022,0,
0.856608,43.5511,88,0.0456226,2.5,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0224829,1,2.5,Wed Nov 16 12:49:17 2022,0,
