Time,Target Position,Measured Position,Torque,Current,Rotation raw,Pinion Target,Pinion Position,Pinion Current,Joint Velocity,Stator Current,Percent Output,System Clock,,,,,,,
0.0104243,5.50675,0,0.00310233,0.17,0,0,0,0,0,0,0,Mon Nov 14 09:46:55 2022,,,,,,,
0.0206554,11.2931,0,0.00310233,0.17,0,0,0,0,0,0,0,Mon Nov 14 09:46:55 2022,,,,,,,
0.0308225,16.8345,0,0.00310233,0.17,0,0,0,0,0,0,0,Mon Nov 14 09:46:55 2022,,,,,,,
0.040958,22.3535,0,0.00364981,0.2,0,0,0,0,0,0,0,Mon Nov 14 09:46:55 2022,,,,,,,
0.051089,27.8112,0,0.00364981,0.2,0,0,0,0,0,0,0,Mon Nov 14 09:46:55 2022,,,,,,,
0.061216,33.2121,0,0.00364981,0.2,-5,0,0,0,0,0,0.154448,Mon Nov 14 09:46:56 2022,,,,,,,
0.0713422,38.5445,7,0.00364981,0.2,-30,0,0,0,40,0,-0.0918866,Mon Nov 14 09:46:56 2022,,,,,,,
0.0814831,43.8018,31,0.287057,15.73,-39,0,0,0,220,0,-0.0703812,Mon Nov 14 09:46:56 2022,,,,,,,
0.091622,48.9832,39,0.287057,15.73,-33,0,0,0,120,0,0.056696,Mon Nov 14 09:46:56 2022,,,,,,,
0.101751,54.0574,37,0.287057,15.73,-36,0,0,0,-20,0,0.0772239,Mon Nov 14 09:46:56 2022,,,,,,,
0.11188,59.0226,38,0.287057,15.73,-47,0,0,0,0,0,0.0175953,Mon Nov 14 09:46:56 2022,,,,,,,
0.122004,63.8702,49,0.287057,15.73,-54,0,0,0,100,0,0.0058651,Mon Nov 14 09:46:56 2022,,,,,,,
0.132141,68.5901,57,0.322095,17.65,-58,0,0,0,80,0,0.0498534,Mon Nov 14 09:46:56 2022,,,,,,,
0.142302,73.1925,61,0.322095,17.65,-66,0,0,0,50,0,0.0498534,Mon Nov 14 09:46:56 2022,,,,,,,
0.152404,77.635,69,0.322095,17.65,-76,0,0,0,70,0,0.0381232,Mon Nov 14 09:46:56 2022,,,,,,,
0.162463,81.8974,80,0.322095,17.65,-85,0,0,0,100,0,0.0361681,Mon Nov 14 09:46:56 2022,,,,,,,
0.172517,85.9918,89,0.322095,17.65,-92,0,0,0,90,0,0.0488759,Mon Nov 14 09:46:56 2022,,,,,,,
0.182569,89.9177,97,0.254574,13.95,-102,0,0,0,80,0,0.0449658,Mon Nov 14 09:46:56 2022,,,,,,,
0.192622,93.6675,108,0.254574,13.95,-113,0,0,0,100,0,0.0410557,Mon Nov 14 09:46:56 2022,,,,,,,
0.202675,97.235,120,0.254574,13.95,-124,0,0,0,110,0,0.0518084,Mon Nov 14 09:46:56 2022,,,,,,,
0.212728,100.612,131,0.254574,13.95,-135,0,0,0,110,0,0.0576735,Mon Nov 14 09:46:56 2022,,,,,,,
0.222779,103.792,144,0.254574,13.95,-148,0,0,0,110,0,0.0478983,Mon Nov 14 09:46:56 2022,,,,,,,
0.23283,106.769,157,0.325198,17.82,-160,0,0,0,130,0,0.0518084,Mon Nov 14 09:46:56 2022,,,,,,,
