Time,Target Position,Measured Position,Torque,Current,Rotation raw,Pinion Target,Pinion Position,Pinion Current,Joint Velocity,Stator Current,Percent Output,System Clock,,,,,,,
0.0104379,3.77651,0,0.00291984,0.16,1,0,0,0,0,0,0,Tue Oct 17 13:59:44 2023,,,,,,,
0.0206799,7.75525,0,0.00291984,0.16,1,0,0,0,0,0,0,Tue Oct 17 13:59:44 2023,,,,,,,
0.0308128,11.5606,0,0.00291984,0.16,1,0,0,0,0,0,0,Tue Oct 17 13:59:44 2023,,,,,,,
0.0410008,15.3473,0,0.00291984,0.16,1,0,0,0,0,0,0,Tue Oct 17 13:59:44 2023,,,,,,,
0.0511374,19.1307,0,0.00310233,0.17,1,0,0,0,0,0,0,Tue Oct 17 13:59:44 2023,,,,,,,
0.0612632,22.8653,0,0.00310233,0.17,1,0,0,0,0,0,0,Tue Oct 17 13:59:44 2023,,,,,,,
0.0713492,26.562,0,0.00310233,0.17,0,0,0,0,0,0,0.0293255,Tue Oct 17 13:59:44 2023,,,,,,,
0.0814027,30.198,0,0.00310233,0.17,-2,0,0,0,0,0,0.0332356,Tue Oct 17 13:59:44 2023,,,,,,,
0.0914609,33.788,3,0.0700763,3.84,-5,0,0,0,20,0,0.0254154,Tue Oct 17 13:59:44 2023,,,,,,,
0.101513,37.3323,7,0.0700763,3.84,-8,0,0,0,30,0,0.0234604,Tue Oct 17 13:59:44 2023,,,,,,,
0.111568,40.82,9,0.0700763,3.84,-11,0,0,0,20,0,0.0293255,Tue Oct 17 13:59:44 2023,,,,,,,
0.121621,44.2504,12,0.0700763,3.84,-15,0,0,0,30,0,0.028348,Tue Oct 17 13:59:44 2023,,,,,,,
0.131674,47.6166,17,0.0700763,3.84,-20,0,0,0,40,0,0.026393,Tue Oct 17 13:59:44 2023,,,,,,,
0.141723,50.9139,22,0.157307,8.62,-26,0,0,0,50,0,0.0293255,Tue Oct 17 13:59:44 2023,,,,,,,
0.151774,54.1371,28,0.157307,8.62,-33,0,0,0,60,0,0.0273705,Tue Oct 17 13:59:44 2023,,,,,,,
0.161824,57.2832,35,0.157307,8.62,-40,0,0,0,60,0,0.0322581,Tue Oct 17 13:59:44 2023,,,,,,,
0.171877,60.3469,42,0.157307,8.62,-48,0,0,0,70,0,0.030303,Tue Oct 17 13:59:44 2023,,,,,,,
0.181929,63.3249,51,0.157307,8.62,-57,0,0,0,70,0,0.0234604,Tue Oct 17 13:59:44 2023,,,,,,,
0.191981,66.2116,59,0.151284,8.29,-66,0,0,0,80,0,0.0273705,Tue Oct 17 13:59:44 2023,,,,,,,
0.202033,69.0035,68,0.151284,8.29,-76,0,0,0,90,0,0.0244379,Tue Oct 17 13:59:44 2023,,,,,,,
0.212085,71.6962,78,0.151284,8.29,-86,0,0,0,90,0,0.0322581,Tue Oct 17 13:59:44 2023,,,,,,,
0.222154,74.29,88,0.151284,8.29,-97,0,0,0,90,0,0.028348,Tue Oct 17 13:59:44 2023,,,,,,,
0.232205,76.7727,99,0.151284,8.29,-109,0,0,0,110,0,0.0254154,Tue Oct 17 13:59:44 2023,,,,,,,
0.242255,79.1449,109,0.128473,7.04,-120,0,0,0,110,0,0.0351906,Tue Oct 17 13:59:44 2023,,,,,,,
0.252305,81.4033,120,0.128473,7.04,-132,0,0,0,110,0,0.028348,Tue Oct 17 13:59:44 2023,,,,,,,
0.262356,83.545,133,0.128473,7.04,-144,0,0,0,110,0,0.0322581,Tue Oct 17 13:59:44 2023,,,,,,,
