Time,Target Position,Measured Position,Torque,Current,Rotation raw,Pinion Target,Pinion Position,Pinion Current,Joint Velocity,Stator Current,Percent Output,System Clock,,,,,,,
0.0104012,3.77705,0,0.00346732,0.19,0,0,0,0,0,0,0,Fri Jan 27 10:35:46 2023,,,,,,,
0.0205918,7.72389,0,0.00346732,0.19,0,0,0,0,0,0,0,Fri Jan 27 10:35:46 2023,,,,,,,
0.0307225,11.5272,0,0.00346732,0.19,0,0,0,0,0,0,0,Fri Jan 27 10:35:46 2023,,,,,,,
0.0408959,15.3125,0,0.00328482,0.18,0,0,0,0,0,0,0,Fri Jan 27 10:35:46 2023,,,,,,,
0.0510254,19.091,0,0.00328482,0.18,0,0,0,0,0,0,0,Fri Jan 27 10:35:46 2023,,,,,,,
0.0611516,22.8238,0,0.00328482,0.18,0,0,0,0,0,0,0,Fri Jan 27 10:35:46 2023,,,,,,,
0.0712765,26.5219,0,0.00328482,0.18,0,0,0,0,0,0,0.0293255,Fri Jan 27 10:35:46 2023,,,,,,,
0.0813983,30.1823,0,0.0297459,1.63,0,0,0,0,0,0,0.0293255,Fri Jan 27 10:35:46 2023,,,,,,,
0.0915291,33.7969,0,0.0297459,1.63,-1,0,0,0,0,0,0.0332356,Fri Jan 27 10:35:46 2023,,,,,,,
0.101614,37.3667,0,0.0297459,1.63,-2,0,0,0,0,0,0.0430108,Fri Jan 27 10:35:46 2023,,,,,,,
0.111665,40.8544,2,0.0297459,1.63,-6,0,0,0,10,0,0.0351906,Fri Jan 27 10:35:46 2023,,,,,,,
0.121715,44.2828,5,0.0297459,1.63,-8,0,0,0,30,0,0.0322581,Fri Jan 27 10:35:46 2023,,,,,,,
0.131766,47.6475,7,0.223186,12.23,-10,0,0,0,20,0,0.0498534,Fri Jan 27 10:35:46 2023,,,,,,,
0.141821,50.9439,9,0.223186,12.23,-13,0,0,0,10,0,0.0518084,Fri Jan 27 10:35:46 2023,,,,,,,
0.151876,54.169,13,0.223186,12.23,-18,0,0,0,30,0,0.0351906,Fri Jan 27 10:35:46 2023,,,,,,,
0.161971,57.3151,18,0.223186,12.23,-23,0,0,0,50,0,0.0332356,Fri Jan 27 10:35:46 2023,,,,,,,
0.172026,60.3919,23,0.223186,12.23,-28,0,0,0,40,0,0.0449658,Fri Jan 27 10:35:46 2023,,,,,,,
0.182076,63.3685,27,0.300379,16.46,-33,0,0,0,40,0,0.0459433,Fri Jan 27 10:35:46 2023,,,,,,,
0.192129,66.2539,33,0.300379,16.46,-41,0,0,0,50,0,0.0439883,Fri Jan 27 10:35:46 2023,,,,,,,
0.202181,69.0441,41,0.300379,16.46,-48,0,0,0,70,0,0.0420332,Fri Jan 27 10:35:46 2023,,,,,,,
0.212232,71.7349,47,0.300379,16.46,-54,0,0,0,60,0,0.0478983,Fri Jan 27 10:35:47 2023,,,,,,,
0.222284,74.3227,53,0.300379,16.46,-61,0,0,0,60,0,0.0518084,Fri Jan 27 10:35:47 2023,,,,,,,
0.232335,76.804,60,0.340527,18.66,-69,0,0,0,60,0,0.0469208,Fri Jan 27 10:35:47 2023,,,,,,,
0.242388,79.1749,68,0.340527,18.66,-77,0,0,0,80,0,0.0449658,Fri Jan 27 10:35:47 2023,,,,,,,
0.252441,81.433,77,0.340527,18.66,-86,0,0,0,80,0,0.0527859,Fri Jan 27 10:35:47 2023,,,,,,,
0.262492,83.5732,85,0.340527,18.66,-94,0,0,0,80,0,0.054741,Fri Jan 27 10:35:47 2023,,,,,,,
0.272544,85.5937,93,0.340527,18.66,-102,0,0,0,80,0,0.058651,Fri Jan 27 10:35:47 2023,,,,,,,
0.282595,87.4911,101,0.38323,21,-110,0,0,0,80,0,0.058651,Fri Jan 27 10:35:47 2023,,,,,,,
0.292647,89.263,109,0.38323,21,-118,0,0,0,60,0,0.0674487,Fri Jan 27 10:35:47 2023,,,,,,,
0.3027,90.9065,116,0.38323,21,-127,0,0,0,80,0,0.0625611,Fri Jan 27 10:35:47 2023,,,,,,,
0.312755,92.4205,126,0.38323,21,-137,0,0,0,90,0,0.0606061,Fri Jan 27 10:35:47 2023,,,,,,,
0.322807,93.801,135,0.38323,21,-147,0,0,0,90,0,0.0635386,Fri Jan 27 10:35:47 2023,,,,,,,
0.332858,95.0469,144,0.448014,24.55,-156,0,0,0,90,0,0.0645161,Fri Jan 27 10:35:47 2023,,,,,,,
0.342911,96.156,153,0.448014,24.55,-164,0,0,0,80,0,0.0742913,Fri Jan 27 10:35:47 2023,,,,,,,
0.352966,97.1277,161,0.448014,24.55,-174,0,0,0,80,0,0.0742913,Fri Jan 27 10:35:47 2023,,,,,,,
0.363016,97.9595,172,0.448014,24.55,-186,0,0,0,100,0,0.0635386,Fri Jan 27 10:35:47 2023,,,,,,,
0.373068,98.6505,182,0.448014,24.55,-195,0,0,0,110,0,0.0635386,Fri Jan 27 10:35:47 2023,,,,,,,
0.383118,99.1999,190,0.487067,26.69,-202,0,0,0,80,0,0.0762463,Fri Jan 27 10:35:47 2023,,,,,,,
0.393167,99.6069,198,0.487067,26.69,-209,0,0,0,70,0,0.0860215,Fri Jan 27 10:35:47 2023,,,,,,,
0.403219,99.871,205,0.487067,26.69,-218,0,0,0,70,0,0.0860215,Fri Jan 27 10:35:47 2023,,,,,,,
0.41327,99.9917,215,0.487067,26.69,-228,0,0,0,90,0,0.0733138,Fri Jan 27 10:35:47 2023,,,,,,,
0.42332,99.9688,225,0.487067,26.69,-237,0,0,0,90,0,0.0733138,Fri Jan 27 10:35:47 2023,,,,,,,
0.43337,99.8025,232,0.545281,29.88,-244,0,0,0,80,0,0.0860215,Fri Jan 27 10:35:47 2023,,,,,,,
0.443423,99.4929,239,0.545281,29.88,-251,0,0,0,70,0,0.0860215,Fri Jan 27 10:35:47 2023,,,,,,,
0.453493,99.0393,246,0.545281,29.88,-257,0,0,0,60,0,0.0928641,Fri Jan 27 10:35:47 2023,,,,,,,
0.463542,98.4444,251,0.545281,29.88,-263,0,0,0,60,0,0.0997067,Fri Jan 27 10:35:47 2023,,,,,,,
0.473594,97.7082,258,0.545281,29.88,-271,0,0,0,60,0,0.085044,Fri Jan 27 10:35:47 2023,,,,,,,
0.483645,96.8317,266,0.627037,34.36,-279,0,0,0,80,0,0.085044,Fri Jan 27 10:35:47 2023,,,,,,,
0.493696,95.8161,274,0.627037,34.36,-285,0,0,0,70,0,0.083089,Fri Jan 27 10:35:47 2023,,,,,,,
0.503746,94.663,279,0.627037,34.36,-289,0,0,0,50,0,0.0957967,Fri Jan 27 10:35:47 2023,,,,,,,
0.513797,93.3741,283,0.627037,34.36,-295,0,0,0,40,0,0.100684,Fri Jan 27 10:35:47 2023,,,,,,,
0.523848,91.9512,289,0.627037,34.36,-299,0,0,0,60,0,0.0860215,Fri Jan 27 10:35:47 2023,,,,,,,
